tactic,mechanism,target,reported_effect,evidence,hedis_relevance,ref,doi,doi_verified
Fracture Liaison Service (coordinator-led),Systematic case-finding + coordinated evaluation/treatment after any fragility fracture,System / care coordination,"Large, consistent increases in BMD testing & treatment initiation vs usual care; most effective single strategy",Strong (multiple RCTs + meta-analyses),Directly closes numerator (BMD or Rx within window),Wu 2018; Wu 2018 (SLR),10.1016/j.bone.2018.03.018,True
Intensive multi-component QI (education + reminders + coordination),Combined provider + patient activation with repeated contact,Provider + patient,Meta-analysis: multifaceted interventions most effective for raising DXA testing & treatment; single-component weakest,Strong (meta-analysis of 43 RCTs),Raises both numerator components,Nayak 2018,10.1002/jbmr.3437,True
Priming/educating PCP after fracture (intensive vs minimal),Notify & motivate the primary care physician to initiate treatment,Provider,RCT: intervention increased treatment initiation vs standard care; intensive > minimal,Moderate-strong (RCT),Drives medication numerator,Roux 2013,10.3899/jrheum.120908,True
Inpatient treatment initiation during hip-fracture admission,Start osteoporosis medication before discharge (order-set/PDSA),System / inpatient workflow,QI: dramatic rise in patients meeting standard of care; captures the highest-risk group,Moderate (pre/post QI),Closes numerator for inpatient hip fractures within window,Kuiper 2018,10.1007/s00198-018-4416-x,True
Pharmacist-led case-finding & therapy initiation,"Clinical pharmacist identifies untreated post-fracture patients, recommends BMD/therapy",Provider / pharmacy,QI: improved screening & pharmacotherapy initiation among elderly post-fracture patients,Moderate (prospective QI),Raises both numerator components,Nadrash 2008,10.1345/aph.1K541,True
EHR-driven continuous case-finding (health-plan registry),Continuous EMR screening flags post-fracture members; can target disparities,System / population,Integrated program improved DXA/treatment rates and reduced ethnic disparities in a large plan,Moderate (program evaluation),Population-level identification feeds outreach; aligns to denominator,Navarro 2011,10.1007/s11999-011-1852-8,True
NLP/automated fracture detection from imaging reports + GP notification,Computerized detection of osteoporotic fractures triggers GP reminder,System + provider,Efficient detection; GP notification coincided with a small increase in management,Weak-moderate (QI),Improves trigger identification (denominator capture),Bolton 2024,10.1071/AH24214,True
Vertebral Fracture Assessment (VFA) added to FLS pathway,Detect silent vertebral fractures to reclassify risk & prompt treatment,System / diagnostics,QI: VFA integration increased treatment initiation among eligible FLS patients,Weak-moderate (QI),Surfaces qualifying fractures & prompts numerator action,Greene 2023,10.1136/bmjoq-2023-002303,True
Plan-level care coordination (member-experienced),"Better follow-up, records-at-visit, cross-provider communication",System / plan,Higher member-reported care coordination associated with better HEDIS clinical-process performance,Observational (large MA cohort),Correlated with better measure performance broadly,Elliott 2021,10.1007/s11606-021-07122-8,True
Risk-targeted outreach using patient/provider failure predictors,"Target women predicted to miss the HEDIS measure (race, region, setting, provider factors)",Population / model-driven,Observational: identifies subgroups less likely to achieve OMW; supports targeting,Observational (HEDIS-defined cohort),Directly maps predictors of OMW failure,Boytsov 2017,10.1177/1062860617691123,True
