pillar,first_author,year,title,journal,doi,pmid,pmc,doi_verified
background,Cosman,2014,Clinician’s Guide to Prevention and Treatment of Osteoporosis,Osteoporosis International,10.1007/s00198-014-2794-2,,,True
background,Amarnath,2023,Classification of Osteoporosis.,"{'title': 'Indian journal of orthopaedics', 'iso_abbreviation': 'Indian J Orthop'}",10.1007/s43465-023-01058-3,38107823.0,PMC10721754,True
background,Gulseth,2008,"Gender differences in health care expenditures, resource utilization, and quality of care.","{'title': 'Journal of managed care pharmacy : JMCP', 'iso_abbreviation': 'J Manag Care Pharm'}",10.18553/jmcp.2008.14.S6-A.2,18439060.0,PMC10438189,True
background,Hsieh,2025,"The global, regional, and national burden attributable to low bone mineral density, 1990-2020: an analysis of a modifiable risk factor from the Global Burden of Disease Study 2021.","{'title': 'The Lancet. Rheumatology', 'iso_abbreviation': 'Lancet Rheumatol'}",10.1016/S2665-9913(25)00105-5,40972625.0,PMC12623303,True
caregap,Foley,2007,Assessment of the clinical management of fragility fractures and implications for the new HEDIS osteoporosis measure.,"{'title': 'Medical care', 'iso_abbreviation': 'Med Care'}",10.1097/MLR.0b013e3180536764,17712262.0,,True
caregap,Papaioannou,2007,The osteoporosis care gap in men with fragility fractures: the Canadian Multicentre Osteoporosis Study.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-007-0483-0,17924051.0,PMC5104547,True
caregap,Solomon,2005,"Medication use patterns for osteoporosis: an assessment of guidelines, treatment rates, and quality improvement interventions.","{'title': 'Mayo Clinic proceedings', 'iso_abbreviation': 'Mayo Clin Proc'}",10.4065/80.2.194,15704774.0,,True
caregap,Jung,2018,Gender differences in anti-osteoporosis drug treatment after osteoporotic fractures.,"{'title': 'Journal of bone and mineral metabolism', 'iso_abbreviation': 'J Bone Miner Metab'}",10.1007/s00774-018-0904-5,29536198.0,,True
caregap,Sanjari,2023,Mind the osteoporosis care gap with timely diagnosis: an executive summary of nationwide osteoporosis Campaigns 2019-2021.,"{'title': 'Journal of diabetes and metabolic disorders', 'iso_abbreviation': 'J Diabetes Metab Disord'}",10.1007/s40200-023-01257-7,37975090.0,PMC10638315,True
fls,Osuna,2017,FRACTURE LIAISON SERVICES: MULTIDISCIPLINARY APPROACHES TO SECONDARY FRACTURE PREVENTION.,"{'title': 'Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists', 'iso_abbreviation': 'Endocr Pract'}",10.4158/EP161433.RA,27849385.0,,True
fls,Fülling,2020,Dresdener Network Osteoporosis.,"{'title': 'Zeitschrift fur Orthopadie und Unfallchirurgie', 'iso_abbreviation': 'Z Orthop Unfall'}",10.1055/a-1149-9588,32428959.0,,True
fls,FLS-CARE study group,2021,Implementation of an integrated care programme to avoid fragility fractures of the hip in older adults in 18 Bavarian hospitals - study protocol for the cluster-randomised controlled fracture liaison service FLS-CARE.,"{'title': 'BMC geriatrics', 'iso_abbreviation': 'BMC Geriatr'}",10.1186/s12877-020-01966-1,33435869.0,PMC7801785,True
fls,Keppler,2024,Orthogeriatric co-management in pelvic and acetabular fractures.,"{'title': 'Archives of orthopaedic and trauma surgery', 'iso_abbreviation': 'Arch Orthop Trauma Surg'}",10.1007/s00402-024-05566-1,39325163.0,,True
fls,Kuiper,2018,After the fall: improving osteoporosis treatment following hip fracture.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-018-4416-x,29464276.0,,True
fls,Alves,2026,An orthogeriatric quality improvement initiative from the European Academy for Medicine of Ageing (EAMA): enhancing osteoporosis treatment and fall prevention.,"{'title': 'European geriatric medicine', 'iso_abbreviation': 'Eur Geriatr Med'}",10.1007/s41999-026-01497-9,42168731.0,,True
fls,Wu,2018,Fracture liaison services improve outcomes of patients with osteoporosis-related fractures: A systematic literature review and meta-analysis.,"{'title': 'Bone', 'iso_abbreviation': 'Bone'}",10.1016/j.bone.2018.03.018,29555309.0,,True
fls,Wu,2018,Identifying characteristics of an effective fracture liaison service: systematic literature review.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-017-4370-z,29525971.0,,True
fls,Nayak,2018,How Can We Improve Osteoporosis Care? A Systematic Review and Meta-Analysis of the Efficacy of Quality Improvement Strategies for Osteoporosis.,"{'title': 'Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research', 'iso_abbreviation': 'J Bone Miner Res'}",10.1002/jbmr.3437,29637658.0,PMC6129396,True
fls,Yu,2019,The Fracture Liaison Service to close the osteoporosis care gap: a leadership educational model for undergraduate and postgraduate trainees.,"{'title': 'Clinical rheumatology', 'iso_abbreviation': 'Clin Rheumatol'}",10.1007/s10067-019-04796-8,31760538.0,,True
measure,McKinley,2002,Performance indicators in women's health: incorporating women's health in the health plan employer data and information set (HEDIS).,"{'title': ""Women's health issues : official publication of the Jacobs Institute of Women's Health"", 'iso_abbreviation': 'Womens Health Issues'}",10.1016/s1049-3867(01)00120-7,11786292.0,,True
outreach,Boytsov,2017,Patient and Provider Characteristics Associated With Optimal Post-Fracture Osteoporosis Management.,"{'title': 'American journal of medical quality : the official journal of the American College of Medical Quality', 'iso_abbreviation': 'Am J Med Qual'}",10.1177/1062860617691123,28693331.0,,True
outreach,Elliott,2021,Patient-Reported Care Coordination is Associated with Better Performance on Clinical Care Measures.,"{'title': 'Journal of general internal medicine', 'iso_abbreviation': 'J Gen Intern Med'}",10.1007/s11606-021-07122-8,34545472.0,PMC8642573,True
outreach,Roux,2013,Priming primary care physicians to treat osteoporosis after a fragility fracture: an integrated multidisciplinary approach.,"{'title': 'The Journal of rheumatology', 'iso_abbreviation': 'J Rheumatol'}",10.3899/jrheum.120908,23504379.0,,True
outreach,Nadrash,2008,Clinical pharmacists' role in improving osteoporosis treatment rates among elderly patients with untreated atraumatic fractures.,"{'title': 'The Annals of pharmacotherapy', 'iso_abbreviation': 'Ann Pharmacother'}",10.1345/aph.1K541,18303134.0,,True
outreach,Navarro,2011,Minimizing disparities in osteoporosis care of minorities with an electronic medical record care plan.,"{'title': 'Clinical orthopaedics and related research', 'iso_abbreviation': 'Clin Orthop Relat Res'}",10.1007/s11999-011-1852-8,21424836.0,PMC3111780,True
prediction,Nguyen,2008,Development of prognostic nomograms for individualizing 5-year and 10-year fracture risks,Osteoporosis International,10.1007/s00198-008-0588-0,,,True
prediction,Sandhu,2009,Prognosis of fracture: evaluation of predictive accuracy of the FRAX™ algorithm and Garvan nomogram,Osteoporosis International,10.1007/s00198-009-1026-7,,,True
prediction,Hippisley-Cox,2012,Derivation and validation of updated QFracture algorithm to predict risk of osteoporotic fracture in primary care in the United Kingdom: prospective open cohort study,BMJ,10.1136/bmj.e3427,,,True
prediction,Dagan,2017,External validation and comparison of three prediction tools for risk of osteoporotic fractures using data from population based electronic health records: retrospective cohort study,BMJ,10.1136/bmj.i6755,,,True
prediction,Kanis,2008,FRAX and the assessment of fracture probability in men and women from the UK.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-007-0543-5,18292978.0,PMC2267485,True
prediction,Harvey,2025,Body mass index and subsequent fracture risk: a meta-analysis to update FRAX.,"{'title': 'Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research', 'iso_abbreviation': 'J Bone Miner Res'}",10.1093/jbmr/zjaf091,40795319.0,PMC12487781,True
prediction,Lehmann,2024,"Fracture risk prediction in postmenopausal women with traditional and machine learning models in a nationwide, prospective cohort study in Switzerland with validation in the UK Biobank.","{'title': 'Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research', 'iso_abbreviation': 'J Bone Miner Res'}",10.1093/jbmr/zjae089,38836468.0,,True
prediction,Agarwal,2021,Predictive performance of the Garvan Fracture Risk Calculator: a registry-based cohort study.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-021-06252-3,34839377.0,,True
prediction,Wu,2023,A Prediction Model for Osteoporosis Risk Using a Machine-Learning Approach and Its Validation in a Large Cohort.,"{'title': 'Journal of Korean medical science', 'iso_abbreviation': 'J Korean Med Sci'}",10.3346/jkms.2023.38.e162,37270917.0,PMC10226854,True
prediction,Shim,2020,Application of machine learning approaches for osteoporosis risk prediction in postmenopausal women.,"{'title': 'Archives of osteoporosis', 'iso_abbreviation': 'Arch Osteoporos'}",10.1007/s11657-020-00802-8,33097976.0,,True
prediction,Vandenput,2024,A meta-analysis of previous falls and subsequent fracture risk in cohort studies.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-023-07012-1,38228807.0,,True
prediction,Sun,2025,Risk prediction of osteoporotic vertebral compression fractures in postmenopausal osteoporotic women by machine learning modelling.,"{'title': 'Frontiers in medicine', 'iso_abbreviation': 'Front Med (Lausanne)'}",10.3389/fmed.2025.1664219,41020247.0,PMC12464034,True
prediction,Bolland,2010,Evaluation of the FRAX and Garvan fracture risk calculators in older women.,"{'title': 'Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research', 'iso_abbreviation': 'J Bone Miner Res'}",10.1002/jbmr.215,20721930.0,,True
prediction,Cha,2023,Effect of Artificial Intelligence or Machine Learning on Prediction of Hip Fracture Risk: Systematic Review.,"{'title': 'Journal of bone metabolism', 'iso_abbreviation': 'J Bone Metab'}",10.11005/jbm.2023.30.3.245,37718902.0,PMC10509025,True
prediction,Usategui-Martín,2025,Assessment of the risk of osteoporotic bone fracture in postmenopausal women using machine learning methods.,"{'title': 'Scientific reports', 'iso_abbreviation': 'Sci Rep'}",10.1038/s41598-025-27226-z,41360838.0,PMC12686389,True
prediction,Peng,2025,A cross-sectional study comparing machine learning and logistic regression techniques for predicting osteoporosis in a group at high risk of cardiovascular disease among old adults.,"{'title': 'BMC geriatrics', 'iso_abbreviation': 'BMC Geriatr'}",10.1186/s12877-025-05840-w,40158079.0,PMC11954202,True
prediction,Qi,2025,Machine learning-driven prediction of risk factors for postoperative re-fractures in elderly OVCF patients with underlying diseases: model development and validation.,"{'title': 'Frontiers in medicine', 'iso_abbreviation': 'Front Med (Lausanne)'}",10.3389/fmed.2025.1616923,40678140.0,PMC12267157,True
prediction,Zhang,2025,Development and validation of a machine learning-based risk prediction model for postoperative delirium in older patients with hip fracture.,"{'title': 'The journals of gerontology. Series A, Biological sciences and medical sciences', 'iso_abbreviation': 'J Gerontol A Biol Sci Med Sci'}",10.1093/gerona/glaf200,40973486.0,,True
prediction,Chen,2022,Development and Validation of Machine Learning Models for Prediction of Fracture Risk in Patients with Elderly-Onset Rheumatoid Arthritis.,"{'title': 'International journal of general medicine', 'iso_abbreviation': 'Int J Gen Med'}",10.2147/IJGM.S380197,36276661.0,PMC9581722,True
prediction,Wu,2023,Predictive value of machine learning on fracture risk in osteoporosis: a systematic review and meta-analysis.,"{'title': 'BMJ open', 'iso_abbreviation': 'BMJ Open'}",10.1136/bmjopen-2022-071430,38070927.0,PMC10728980,True
prediction,Kong,2023,Development and validation of common data model-based fracture prediction model using machine learning algorithm.,"{'title': 'Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA', 'iso_abbreviation': 'Osteoporos Int'}",10.1007/s00198-023-06787-7,37195320.0,,True
qi,Bolton,2024,A quality improvement project to increase treatment rates of osteoporosis in general practice.,"{'title': 'Australian health review : a publication of the Australian Hospital Association', 'iso_abbreviation': 'Aust Health Rev'}",10.1071/AH24214,39413820.0,,True
qi,Greene,2023,Quality improvement initiative: implementing routine vertebral fracture assessments into an Australian Fracture Liaison Service.,"{'title': 'BMJ open quality', 'iso_abbreviation': 'BMJ Open Qual'}",10.1136/bmjoq-2023-002303,37783515.0,PMC10565291,True
screening,Leslie,2019,"Population-Based Osteoporosis Primary Prevention and Screening for Quality of Care in Osteoporosis, Current Osteoporosis Reports.","{'title': 'Current osteoporosis reports', 'iso_abbreviation': 'Curr Osteoporos Rep'}",10.1007/s11914-019-00542-w,31673933.0,,True
